"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2023","112.07","112.07","112.07","112.07","","-2.20%"
"04/03/2023","114.59","114.59","114.59","114.59","","3.87%"
"03/31/2023","110.32","110.32","110.32","110.32","","7.61%"
"03/30/2023","102.52","102.52","102.52","102.52","","0.17%"
"03/29/2023","102.35","102.35","102.35","102.35","","0.08%"
"03/28/2023","102.27","102.27","102.27","102.27","","0.53%"
"03/27/2023","101.73","101.73","101.73","101.73","","-0.05%"
"03/24/2023","101.78","101.78","101.78","101.78","","-1.11%"
"03/23/2023","102.92","102.92","102.92","102.92","","0.08%"
"03/22/2023","102.84","102.84","102.84","102.84","","0.25%"
"03/21/2023","102.58","102.58","102.58","102.58","","1.15%"
"03/20/2023","101.41","101.41","101.41","101.41","","-1.94%"
"03/17/2023","103.42","103.42","103.42","103.42","","-1.63%"
"03/16/2023","105.13","105.13","105.13","105.13","","1.34%"
"03/15/2023","103.74","103.74","103.74","103.74","","-2.92%"
"03/14/2023","106.86","106.86","106.86","106.86","","-2.56%"
"03/13/2023","109.67","109.67","109.67","109.67","","-5.33%"
"03/10/2023","115.84","115.84","115.84","115.84","","4.14%"
"03/09/2023","111.24","111.24","111.24","111.24","","1.57%"
"03/08/2023","109.52","109.52","109.52","109.52","","-0.71%"
"03/07/2023","110.30","110.30","110.30","110.30","","0.29%"
"03/06/2023","109.98","109.98","109.98","109.98","","-3.91%"
"03/03/2023","114.46","114.46","114.46","114.46","","-3.59%"
"03/02/2023","118.72","118.72","118.72","118.72","","-0.83%"
"03/01/2023","119.71","119.71","119.71","119.71","","-1.01%"
"02/28/2023","120.93","120.93","120.93","120.93","","-5.75%"
"02/27/2023","128.31","128.31","128.31","128.31","","0.02%"
"02/24/2023","128.29","128.29","128.29","128.29","","0.27%"
"02/23/2023","127.95","127.95","127.95","127.95","","-0.60%"
"02/22/2023","128.72","128.72","128.72","128.72","","-0.27%"
"02/21/2023","129.07","129.07","129.07","129.07","","-0.08%"
"02/17/2023","129.17","129.17","129.17","129.17","","-0.49%"
"02/16/2023","129.81","129.81","129.81","129.81","","0.76%"
"02/15/2023","128.83","128.83","128.83","128.83","","-0.45%"
"02/14/2023","129.41","129.41","129.41","129.41","","0.20%"
"02/13/2023","129.15","129.15","129.15","129.15","","-3.50%"
"02/10/2023","133.84","133.84","133.84","133.84","","1.45%"
"02/09/2023","131.93","131.93","131.93","131.93","","0.73%"
"02/08/2023","130.98","130.98","130.98","130.98","","1.42%"
"02/07/2023","129.15","129.15","129.15","129.15","","-2.37%"
"02/06/2023","132.28","132.28","132.28","132.28","","-6.53%"
"02/03/2023","141.52","141.52","141.52","141.52","","2.11%"
"02/02/2023","138.59","138.59","138.59","138.59","","-2.94%"
"02/01/2023","142.79","142.79","142.79","142.79","","0.77%"
"01/31/2023","141.70","141.70","141.70","141.70","","20.26%"
"01/30/2023","117.83","117.83","117.83","117.83","","-0.16%"
"01/27/2023","118.02","118.02","118.02","118.02","","1.67%"
"01/26/2023","116.08","116.08","116.08","116.08","","-0.22%"
"01/25/2023","116.34","116.34","116.34","116.34","","-1.28%"
"01/24/2023","117.85","117.85","117.85","117.85","","-1.08%"
"01/23/2023","119.14","119.14","119.14","119.14","","0.71%"
"01/20/2023","118.30","118.30","118.30","118.30","","-0.15%"
"01/19/2023","118.48","118.48","118.48","118.48","","-0.85%"
"01/18/2023","119.49","119.49","119.49","119.49","","-0.41%"
"01/17/2023","119.98","119.98","119.98","119.98","","-3.02%"
"01/13/2023","123.71","123.71","123.71","123.71","","-0.78%"
"01/12/2023","124.68","124.68","124.68","124.68","","5.98%"
"01/11/2023","117.64","117.64","117.64","117.64","","-0.44%"
"01/10/2023","118.16","118.16","118.16","118.16","","-2.36%"
"01/09/2023","121.01","121.01","121.01","121.01","","-3.04%"
"01/06/2023","124.81","124.81","124.81","124.81","","-4.48%"
"01/05/2023","130.66","130.66","130.66","130.66","","3.35%"
"01/04/2023","126.42","126.42","126.42","126.42","","-11.21%"
"01/03/2023","142.38","142.38","142.38","142.38","","-43.41%"
