AVG_PRICE,HOURLY_BUCKET
52.46,02-26 13:00
53.25,02-26 14:00
53.03,02-26 15:00
53.50,02-26 16:00
53.50,02-26 18:00
52.25,02-26 19:00
52.33,02-27 00:00
52.92,02-27 01:00
50.00,02-27 07:00
50.69,02-27 08:00
50.77,02-27 09:00
50.78,02-27 10:00
50.91,02-27 11:00
50.92,02-27 12:00
50.65,02-27 13:00
50.48,02-27 14:00
49.60,02-27 15:00
48.38,02-27 16:00
47.82,02-27 17:00
47.63,02-27 18:00
47.40,02-27 21:00
48.56,02-28 00:00
47.85,02-28 01:00
48.84,02-28 08:00
49.13,02-28 09:00
49.15,02-28 10:00
48.50,02-28 11:00
48.62,02-28 12:00
48.38,02-28 13:00
48.52,02-28 14:00
48.12,02-28 15:00
47.57,02-28 16:00
47.67,02-28 17:00
47.68,02-28 18:00
48.22,02-28 19:00
48.39,02-28 20:00
48.52,02-28 21:00
48.59,02-28 22:00
49.42,02-28 23:00
49.43,03-01 00:00
47.60,03-01 01:00
48.09,03-01 08:00
48.71,03-01 09:00
48.51,03-01 10:00
48.37,03-01 11:00
48.56,03-01 12:00
48.65,03-01 13:00
48.74,03-01 14:00
48.15,03-01 15:00
48.56,03-01 16:00
49.53,03-01 17:00
49.57,03-01 18:00
49.90,03-01 19:00
49.71,03-01 20:00
49.71,03-01 21:00
49.70,03-01 22:00
49.69,03-01 23:00
49.63,03-02 00:00
49.13,03-02 01:00
48.97,03-02 08:00
48.62,03-02 09:00
48.42,03-02 10:00
48.35,03-02 11:00
48.26,03-02 12:00
48.38,03-02 13:00
48.48,03-02 14:00
48.10,03-02 15:00
47.60,03-02 16:00
46.96,03-02 17:00
46.42,03-02 18:00
47.67,03-02 19:00
47.58,03-02 20:00
47.57,03-02 21:00
47.60,03-02 22:00
46.13,03-03 00:00
46.15,03-03 01:00
46.50,03-03 07:00
46.77,03-03 08:00
46.62,03-03 09:00
46.50,03-03 10:00
46.28,03-03 11:00
46.33,03-03 12:00
46.56,03-03 13:00
46.85,03-03 14:00
46.47,03-03 15:00
46.34,03-03 16:00
46.53,03-03 17:00
46.75,03-03 21:00
46.30,03-04 01:00
45.98,03-04 11:00
47.37,03-04 13:00
48.10,03-05 08:00
48.59,03-05 10:00
48.42,03-05 11:00
49.17,03-05 12:00
49.18,03-05 13:00
48.80,03-05 15:00
48.75,03-05 16:00
48.65,03-05 17:00
48.95,03-05 18:00
47.30,03-05 19:00
47.30,03-05 20:00
47.69,03-05 21:00
47.22,03-05 22:00
47.15,03-05 23:00
47.24,03-06 00:00
46.87,03-06 01:00
44.52,03-06 07:00
44.26,03-06 08:00
44.10,03-06 09:00
44.11,03-06 10:00
44.13,03-06 11:00
44.26,03-06 12:00
44.16,03-06 13:00
43.89,03-06 14:00
43.48,03-06 15:00
43.86,03-06 16:00
44.91,03-06 17:00
45.16,03-06 18:00
45.94,03-06 19:00
46.44,03-06 20:00
45.98,03-06 21:00
46.32,03-06 22:00
45.04,03-07 00:00
45.09,03-07 01:00
44.70,03-07 07:00
44.23,03-07 08:00
43.58,03-07 09:00
43.73,03-07 10:00
43.45,03-07 11:00
43.67,03-07 12:00
44.11,03-07 13:00
44.85,03-07 14:00
44.79,03-07 15:00
45.16,03-07 16:00
45.43,03-07 17:00
45.50,03-07 18:00
45.66,03-07 19:00
45.81,03-07 20:00
46.18,03-07 21:00
46.50,03-07 22:00
46.66,03-07 23:00
45.74,03-08 00:00
45.29,03-08 01:00
46.50,03-08 07:00
45.84,03-08 08:00
45.74,03-08 09:00
45.46,03-08 10:00
45.28,03-08 11:00
44.90,03-08 12:00
44.30,03-08 13:00
44.13,03-08 14:00
44.02,03-08 15:00
43.38,03-08 16:00
43.53,03-08 17:00
43.86,03-08 18:00
43.26,03-08 20:00
43.00,03-08 21:00
42.43,03-09 00:00
42.18,03-09 01:00
41.73,03-09 07:00
41.69,03-09 08:00
41.91,03-09 09:00
42.02,03-09 10:00
42.26,03-09 11:00
41.91,03-09 12:00
41.60,03-09 13:00
42.15,03-09 14:00
42.94,03-09 15:00
45.50,03-09 16:00
47.31,03-09 17:00
47.17,03-09 18:00
47.54,03-09 20:00
47.57,03-09 21:00
47.70,03-09 22:00
46.72,03-09 23:00
46.62,03-10 00:00
46.51,03-10 01:00
46.63,03-10 07:00
47.20,03-10 08:00
45.58,03-10 09:00
46.26,03-10 10:00
47.29,03-10 11:00
46.89,03-10 12:00
47.02,03-10 13:00
48.41,03-10 14:00
50.46,03-10 15:00
53.05,03-10 16:00
53.43,03-10 17:00
54.95,03-10 23:00
54.95,03-11 00:00
54.95,03-11 01:00
55.00,03-11 09:00
54.97,03-11 10:00
53.65,03-11 12:00
53.65,03-11 13:00
53.57,03-11 14:00
52.20,03-11 20:00
52.20,03-11 21:00
52.20,03-11 22:00
52.20,03-11 23:00
52.20,03-12 00:00
52.20,03-12 01:00
52.35,03-12 08:00
52.01,03-12 09:00
51.60,03-12 10:00
50.77,03-12 11:00
50.77,03-12 12:00
49.75,03-12 13:00
49.62,03-12 14:00
49.87,03-12 15:00
49.92,03-12 16:00
50.03,03-12 17:00
50.54,03-12 19:00
50.20,03-12 20:00
49.18,03-12 23:00
50.00,03-13 00:00
50.66,03-13 01:00
49.35,03-13 07:00
49.05,03-13 08:00
50.26,03-13 09:00
51.93,03-13 10:00
52.31,03-13 11:00
52.45,03-13 12:00
52.64,03-13 13:00
53.26,03-13 14:00
52.49,03-13 15:00
49.48,03-13 16:00
48.88,03-13 17:00
48.50,03-13 18:00
48.50,03-13 19:00
48.67,03-13 20:00
48.50,03-13 21:00
48.15,03-13 22:00
46.96,03-14 00:00
46.91,03-14 01:00
47.74,03-14 07:00
46.99,03-14 08:00
47.63,03-14 09:00
47.67,03-14 10:00
47.45,03-14 11:00
47.20,03-14 12:00
46.19,03-14 13:00
45.60,03-14 14:00
45.07,03-14 15:00
45.28,03-14 16:00
45.56,03-14 17:00
45.62,03-14 18:00
45.00,03-14 22:00
45.00,03-14 23:00
44.61,03-15 00:00
44.65,03-15 01:00
45.10,03-15 07:00
45.19,03-15 08:00
44.44,03-15 09:00
44.06,03-15 10:00
44.06,03-15 11:00
43.36,03-15 12:00
43.02,03-15 13:00
43.27,03-15 14:00
43.44,03-15 15:00
43.13,03-15 16:00
44.26,03-15 17:00
44.48,03-15 18:00
45.35,03-15 19:00
44.50,03-15 21:00
44.70,03-15 22:00
44.09,03-16 00:00
45.87,03-16 01:00
43.83,03-16 07:00
42.69,03-16 08:00
42.23,03-16 09:00
42.27,03-16 10:00
42.34,03-16 11:00
42.32,03-16 12:00
42.21,03-16 13:00
43.06,03-16 14:00
43.76,03-16 15:00
44.73,03-16 16:00
44.67,03-16 17:00
44.50,03-16 18:00
44.80,03-16 20:00
44.80,03-16 21:00
44.80,03-16 22:00
44.54,03-17 00:00
44.65,03-17 01:00
45.00,03-17 07:00
44.00,03-17 08:00
43.80,03-17 09:00
43.58,03-17 10:00
43.59,03-17 11:00
43.85,03-17 12:00
43.73,03-17 13:00
43.13,03-17 14:00
42.56,03-17 15:00
42.18,03-17 16:00
41.87,03-17 17:00
40.50,03-17 18:00
41.80,03-17 23:00
41.80,03-18 07:00
42.05,03-18 11:00
41.21,03-18 15:00
41.50,03-18 16:00
41.40,03-18 17:00
41.84,03-19 10:00
41.86,03-19 11:00
41.87,03-19 12:00
42.69,03-19 13:00
41.72,03-19 14:00
42.30,03-19 15:00
43.17,03-19 16:00
43.18,03-19 20:00
42.77,03-19 21:00
43.05,03-19 22:00
42.92,03-19 23:00
43.01,03-20 00:00
42.81,03-20 01:00
40.00,03-20 07:00
40.01,03-20 08:00
40.24,03-20 09:00
40.25,03-20 10:00
40.27,03-20 11:00
40.33,03-20 12:00
40.63,03-20 13:00
40.60,03-20 14:00
40.14,03-20 15:00
39.29,03-20 16:00
39.55,03-20 17:00
39.40,03-20 18:00
39.00,03-20 19:00
39.00,03-20 20:00
39.00,03-20 21:00
